Sample	posterior	likelihood	prior	treeLikelihood.H3N2	structuredCoalescent.t:H3N2	Ne.Hong_Kong	Ne.New_York	Ne.New_Zealand	b_migration.Hong_Kong_to_New_York	b_migration.Hong_Kong_to_New_Zealand	b_migration.New_York_to_Hong_Kong	b_migration.New_York_to_New_Zealand	b_migration.New_Zealand_to_Hong_Kong	b_migration.New_Zealand_to_New_York	clockRate.c:H3N2	kappa.s:H3N2	gammaShape.s:H3N2
0	-2409.9375142886647	-2372.4547379542646	-37.48277633440034	-2372.4547379542646	-34.15200253958354	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.005	2.0	1.0
2500	-1960.374277982048	-1915.1029935040408	-45.271284478007104	-1915.1029935040408	-40.59049525301191	1.089308	0.557623	1.989162	1.056393	0.593023	0.657085	1.181883	0.395300	1.398016	0.00480655557860426	2.2022636817867833	0.5170005019418674
5000	-1946.8586101162605	-1909.0326832285034	-37.82592688775706	-1909.0326832285034	-34.25752636486257	0.382870	0.598479	1.038881	1.554827	0.393480	1.095340	1.025267	0.485748	2.363796	0.004918893455198586	3.0625560178414313	0.43165515629032913
7500	-1951.618812800384	-1906.2116091146393	-45.407203685744555	-1906.2116091146393	-38.541264938412795	0.547464	1.334123	0.893539	0.525787	0.416367	2.151202	2.027855	0.234427	2.081039	0.004861511091529567	8.445188558964578	0.5153820024443614
10000	-1940.854989809988	-1905.1781075845145	-35.67688222547343	-1905.1781075845145	-33.24430748361129	0.371037	0.603684	1.242992	0.613756	0.365636	1.828361	1.600050	0.323765	0.896546	0.004994827823341145	3.6880197334892304	0.4968775696548188
12500	-1952.7810163060842	-1905.1986224063662	-47.58239389971798	-1905.1986224063662	-43.754353872929286	0.982916	0.675494	1.843878	1.135723	0.467650	1.564178	1.094699	0.243535	0.464659	0.0049479325134138726	4.211717903740248	1.1487008484433154
15000	-1945.952809066025	-1903.9093002435573	-42.04350882246792	-1903.9093002435573	-37.28664839063277	0.847399	1.179966	1.175059	1.478533	0.250380	2.280483	1.048986	0.251831	0.634590	0.0051301857248075115	4.668455146214283	0.5210836764995219
17500	-1943.1749464922377	-1903.9314485094833	-39.243497982754434	-1903.9314485094833	-36.16521683032222	0.576861	0.822090	1.085445	1.281970	0.194735	2.137940	0.664573	0.397070	0.357002	0.004975584137330373	6.246020341789133	0.8444457443995573
20000	-1950.2009447922492	-1903.361479994378	-46.839464797871194	-1903.361479994378	-40.93070300826996	0.328657	0.997144	1.219729	1.779814	0.163160	3.022088	0.438287	0.233924	0.265766	0.004825306813207398	6.246020341789133	1.0970593904241608
22500	-1946.6617176651716	-1913.6991575725538	-32.96256009261778	-1913.6991575725538	-27.634644824689587	0.149106	1.027154	0.906169	1.774391	0.262569	3.562704	0.354420	0.304381	0.334315	0.0050780220720316495	5.580905268766121	1.0970593904241608
